"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C63","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","112,3577","65,6287","180","Chip Capacitor, 0402 (1005 Metric)"
"C60","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","92,8280","72,8980","0","Chip Capacitor, 0402 (1005 Metric)"
"C59","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","91,3130","96,3930","90","Chip Capacitor, 0402 (1005 Metric)"
"C58","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","112,3581","66,4955","180","Chip Capacitor, 0402 (1005 Metric)"
"C57","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","113,1660","64,7700","180","Chip Capacitor, 0402 (1005 Metric)"
"C56","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","103,0704","63,2555","0","Chip Capacitor, 0402 (1005 Metric)"
"C55","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","89,9160","57,2770","0","Chip Capacitor, 0402 (1005 Metric)"
"C54","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","89,9070","60,0710","0","Chip Capacitor, 0402 (1005 Metric)"
"C53","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","99,0600","62,3660","270","Chip Capacitor, 0402 (1005 Metric)"
"C52","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","101,6000","62,3660","270","Chip Capacitor, 0402 (1005 Metric)"
"C51","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","115,6970","61,0870","90","Chip Capacitor, 0402 (1005 Metric)"
"C50","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","115,6970","58,5470","270","Chip Capacitor, 0402 (1005 Metric)"
"C49","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","102,3620","60,3250","45","Chip Capacitor, 0402 (1005 Metric)"
"C48","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","111,5060","57,4040","90","Chip Capacitor, 0402 (1005 Metric)"
"C47","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","112,6490","58,4200","90","Chip Capacitor, 0402 (1005 Metric)"
"C46","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","103,0188","59,7118","45","Chip Capacitor, 0402 (1005 Metric)"
"C45","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","105,5370","57,6580","90","Chip Capacitor, 0402 (1005 Metric)"
"C43","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","104,0721","53,4710","180","Chip Capacitor, 0402 (1005 Metric)"
"C42","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","106,4260","58,1660","90","Chip Capacitor, 0402 (1005 Metric)"
"C41","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","107,7498","55,9173","90","Chip Capacitor, 0402 (1005 Metric)"
"C40","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","108,6388","55,9173","90","Chip Capacitor, 0402 (1005 Metric)"
"C39","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","100,2030","57,9210","270","Chip Capacitor, 0402 (1005 Metric)"
"C38","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","59,4100","62,9040","270","Chip Capacitor, 0402 (1005 Metric)"
"C37","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","61,8490","58,6740","180","Chip Capacitor, 0402 (1005 Metric)"
"C36","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","62,1201","67,2481","270","Chip Capacitor, 0402 (1005 Metric)"
"C35","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","59,4244","60,9557","90","Chip Capacitor, 0402 (1005 Metric)"
"C34","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","108,8970","91,2798","180","Chip Capacitor, 0402 (1005 Metric)"
"C33","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","109,3912","90,0139","270","Chip Capacitor, 0402 (1005 Metric)"
"C31","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","108,9360","88,6670","180","Chip Capacitor, 0402 (1005 Metric)"
"C30","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","110,6170","88,2650","180","Chip Capacitor, 0402 (1005 Metric)"
"C29","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","123,3313","60,6635","90","Chip Capacitor, 0402 (1005 Metric)"
"C28","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","106,9822","86,4325","0","Chip Capacitor, 0402 (1005 Metric)"
"C27","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","98,0140","91,2070","0","Chip Capacitor, 0402 (1005 Metric)"
"C26","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","96,0306","88,8752","45","Chip Capacitor, 0402 (1005 Metric)"
"C25","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","97,2782","87,5450","45","Chip Capacitor, 0402 (1005 Metric)"
"C24","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","139,6400","67,1830","0","Chip Capacitor, 0603 (1608 Metric)"
"C23","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","98,0230","90,3180","180","Chip Capacitor, 0402 (1005 Metric)"
"C22","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","132,3546","68,5789","90","Chip Capacitor, 0603 (1608 Metric)"
"C21","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","131,1910","68,5800","90","Chip Capacitor, 0603 (1608 Metric)"
"C20","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","123,3313","62,3325","270","Chip Capacitor, 0402 (1005 Metric)"
"C19","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","130,8100","61,3500","90","Chip Capacitor, 0402 (1005 Metric)"
"C18","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","129,7910","64,9681","180","Chip Capacitor, 0402 (1005 Metric)"
"C16","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","99,1660","86,8890","225","Chip Capacitor, 0402 (1005 Metric)"
"C15","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","124,4369","76,6363","180","Chip Capacitor, 0603 (1608 Metric)"
"C14","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","67,0789","89,4394","0","Chip Capacitor, 0603 (1608 Metric)"
"C13","Capacitor 0805","TopLayer","CAPC2013X95X50LL10T25_HD","124,4570","73,7068","180","Chip Capacitor, 0805 (2012 Metric)"
"C12","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","83,0580","86,9950","180","Chip Capacitor, 0402 (1005 Metric)"
"C11","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","83,0580","87,8840","180","Chip Capacitor, 0402 (1005 Metric)"
"C10","Capacitor 0805","TopLayer","CAPC2013X95X50LL10T25_HD","87,5030","87,2490","90","Chip Capacitor, 0805 (2012 Metric)"
"C9","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","86,7154","81,3056","135","Chip Capacitor, 0603 (1608 Metric)"
"C8","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","85,3440","80,2640","180","Chip Capacitor, 0402 (1005 Metric)"
"C7","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","85,6675","79,1997","180","Chip Capacitor, 0603 (1608 Metric)"
"C6","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","60,5790","76,2090","90","Chip Capacitor, 0402 (1005 Metric)"
"C5","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","63,1190","75,4380","270","Chip Capacitor, 0402 (1005 Metric)"
"C4","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","84,9640","73,5330","90","Chip Capacitor, 0402 (1005 Metric)"
"C3","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","85,8530","73,5330","90","Chip Capacitor, 0402 (1005 Metric)"
"C2","Capacitor 0805","TopLayer","CAPC2013X95X50LL10T25_HD","87,1336","73,2006","90","Chip Capacitor, 0805 (2012 Metric)"
"C1","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","134,9340","68,1990","180","Chip Capacitor, 0603 (1608 Metric)"

